epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.9349,1.22328,3.47445,1.41093,0.00964,0.94118,0.52074,0.35269,0.74525,3.55108,1.19581,0.00011669,0.00011669,0.00011669
2,127.597,1.05293,2.49951,1.31901,1,0.28197,0.82972,0.53864,0.79484,3.00181,1.16761,0.000245099,0.000245099,0.000245099
3,183.283,0.97542,1.76978,1.22001,1,0.38155,0.89786,0.59559,0.87857,2.89153,1.27488,0.000368227,0.000368227,0.000368227
4,240.599,0.9843,1.76253,1.18914,1,0.1738,0.7336,0.4847,0.90274,3.06142,1.2634,0.000486074,0.000486074,0.000486074
5,297.73,0.94205,1.60786,1.15097,0.65383,0.22397,0.53549,0.28084,1.1942,3.26678,1.58185,0.00059864,0.00059864,0.00059864
6,364.311,0.94774,1.51184,1.14932,0.40256,0.29412,0.44954,0.23286,1.31599,3.11175,1.82071,0.000705924,0.000705924,0.000705924
7,420.325,1.04982,1.56693,1.21855,0.77035,0.59222,0.76823,0.39141,1.33279,3.04274,1.86974,0.000807928,0.000807928,0.000807928
8,471.886,0.89605,1.48752,1.16079,0.47868,0.48677,0.53375,0.25182,1.38924,3.0701,1.77148,0.000904651,0.000904651,0.000904651
9,521.789,0.95203,1.45295,1.16982,0.75086,0.76471,0.78784,0.43967,1.20086,2.4618,1.64486,0.000996093,0.000996093,0.000996093
10,576.791,0.87934,1.42703,1.13,0.70154,0.35294,0.4607,0.17068,1.67962,2.89268,2.55371,0.00108225,0.00108225,0.00108225
11,642.388,0.87275,1.34996,1.16052,0.53275,0.41176,0.49714,0.24709,1.80917,3.08068,2.44188,0.00116313,0.00116313,0.00116313
12,694.643,0.8889,1.35403,1.14082,0.42074,0.52941,0.33756,0.1156,1.69457,3.79056,2.17204,0.00123873,0.00123873,0.00123873
13,745.99,0.94607,1.27268,1.16097,0.49355,0.76471,0.63604,0.2133,1.61884,2.86905,1.94206,0.00127092,0.00127092,0.00127092
14,796.147,0.96507,1.32038,1.18872,0.47151,0.6303,0.46339,0.21463,1.58156,2.78295,2.06313,0.00123791,0.00123791,0.00123791
15,847.344,0.9119,1.2175,1.17129,0.25175,0.52941,0.28203,0.10494,1.47501,3.36239,2.01363,0.00120491,0.00120491,0.00120491
16,900.368,0.86255,1.1702,1.14146,0.3989,0.35294,0.2975,0.05997,1.89932,3.65512,2.35621,0.0011719,0.0011719,0.0011719
17,956.747,0.77334,1.08069,1.09223,0.61041,0.23529,0.2633,0.13518,1.49478,3.24402,2.05662,0.00113889,0.00113889,0.00113889
18,1010.45,0.839,1.16141,1.14699,0.61626,0.35294,0.42609,0.20849,1.38715,2.87294,1.86034,0.00110589,0.00110589,0.00110589
19,1061.51,0.79553,1.11098,1.1013,0.54266,0.47059,0.54176,0.28526,1.48785,2.82534,1.82643,0.00107288,0.00107288,0.00107288
20,1111.12,0.76382,1.00275,1.05859,0.81568,0.41176,0.59622,0.28242,1.68666,2.82453,1.91733,0.00103987,0.00103987,0.00103987
21,1158.23,0.76816,1.09899,1.09447,0.9066,0.57215,0.69094,0.39402,1.50019,2.25038,1.76332,0.00100687,0.00100687,0.00100687
22,1206.39,0.71759,0.95032,1.02507,0.56458,0.83945,0.68161,0.37704,1.40392,2.06767,1.8391,0.000973861,0.000973861,0.000973861
23,1259.72,0.74295,1.00431,1.04767,0.73397,0.70588,0.73321,0.4801,1.32364,1.78491,1.81083,0.000940855,0.000940855,0.000940855
24,1308.85,0.78762,0.94357,1.08959,0.87207,0.80288,0.80729,0.5715,1.07508,1.77303,1.6124,0.000907848,0.000907848,0.000907848
25,1357.78,0.76817,0.95897,1.08645,0.85303,0.68386,0.75992,0.50791,1.11703,1.91488,1.72724,0.000874842,0.000874842,0.000874842
26,1404.39,0.76524,0.97084,1.09136,0.7466,0.76471,0.76141,0.39179,1.22141,1.95986,1.64544,0.000841835,0.000841835,0.000841835
27,1451.75,0.74155,0.94755,1.03512,0.71668,0.74477,0.79695,0.43353,1.07598,1.91767,1.50225,0.000808828,0.000808828,0.000808828
28,1498.61,0.75165,0.93274,1.06868,0.83698,0.58824,0.74552,0.42307,1.12904,1.97165,1.53248,0.000775822,0.000775822,0.000775822
29,1546.02,0.74202,0.8861,1.08319,0.72699,0.70588,0.80777,0.52571,1.22427,1.92167,1.71626,0.000742815,0.000742815,0.000742815
30,1595.17,0.71253,0.89132,1.03857,0.75173,0.71279,0.82631,0.50985,1.21254,1.84369,1.58136,0.000709809,0.000709809,0.000709809
31,1648.64,0.73294,0.85627,1.05926,0.93454,0.64706,0.86374,0.58735,1.10269,1.62381,1.4286,0.000676802,0.000676802,0.000676802
32,1707.09,0.64261,0.77953,1.01802,0.78507,0.82353,0.90941,0.67646,0.7573,1.21722,1.24687,0.000643795,0.000643795,0.000643795
